13:27:54.529 [main] INFO  testCases.TC_002_SFS_All_Mobile - Range Selected 30
14:05:19.561 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of TextQuestion Control Title
14:05:22.104 [main] INFO  testCases.TC_001_SFI_All_Mobile - Text Entered in TextAnswer Control
14:05:25.737 [main] INFO  testCases.TC_001_SFI_All_Mobile - Text Question Next Clicked
14:05:25.916 [main] INFO  utilities.SurveyFormReUsables - Email Control Title Passed : Actual Value is: What is your email address?Expected Value is: What is your email address?
14:05:27.442 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Email Control Title
14:05:29.496 [main] INFO  testCases.TC_001_SFI_All_Mobile - Email Id Entered
14:05:31.509 [main] INFO  testCases.TC_001_SFI_All_Mobile - Email Next Clicked
14:05:32.795 [main] INFO  utilities.SurveyFormReUsables - Phone Number Control Title Passed : Actual Value is: Please type your phone numberExpected Value is: Please type your phone number
14:05:34.280 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of PhoneNumber Control Title
14:05:39.308 [main] INFO  testCases.TC_001_SFI_All_Mobile - Phone Number Entered
14:05:41.240 [main] INFO  testCases.TC_001_SFI_All_Mobile - PhoneNumber Next Clicked
14:05:42.326 [main] INFO  utilities.SurveyFormReUsables - Appointment Control Title Passed : Actual Value is: Book an appointment / meetingExpected Value is: Book an appointment / meeting
14:05:43.747 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Appointment Control Title
14:05:44.428 [main] INFO  testCases.TC_001_SFI_All_Mobile - Appointment Clicked
14:06:03.697 [main] INFO  testCases.TC_001_SFI_All_Mobile - Appointment Updated to Datasheet
14:06:03.697 [main] INFO  testCases.TC_001_SFI_All_Mobile - Appointment Time Captured in Expected Value
14:06:06.446 [main] INFO  testCases.TC_001_SFI_All_Mobile - Appointment Next Button clicked
14:06:07.722 [main] INFO  utilities.SurveyFormReUsables - MultiSelect Control Title Passed : Actual Value is: Select your choices..!Expected Value is: Select your choices..!
14:06:09.159 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of MultiSelect Control Title
14:06:13.797 [main] INFO  testCases.TC_001_SFI_All_Mobile - MultiSelect Value Selected
14:06:31.263 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - ******starting TC_001_SFI_All_MobileResponse ****
14:06:31.263 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Test Execution on Browser: chrome
14:06:31.263 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Excel file Utility instance created
14:06:31.418 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Row Count is: 1
14:06:31.457 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Col Count is: 49
14:06:31.457 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Extracting DataSheet Values started...
14:06:36.637 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Extracting DataSheet Values Completed...
14:06:41.640 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Navigation started
14:06:46.179 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Login details Entered
14:06:46.271 [main] INFO  testCases.TC_001_SFI_All_MobileResponse - Chat bot Logged In
14:07:44.113 [main] INFO  testCases.TC_001_SFI_All_Mobile - ******starting TC_001_SFI_All_Mobile ****
14:07:44.121 [main] INFO  testCases.TC_001_SFI_All_Mobile - Test Execution on Browser: chrome
14:07:44.125 [main] INFO  testCases.TC_001_SFI_All_Mobile - Excel file Utility instance created
14:07:45.782 [main] INFO  testCases.TC_001_SFI_All_Mobile - Row Count is: 1
14:07:45.985 [main] INFO  testCases.TC_001_SFI_All_Mobile - Col Count is: 49
14:07:45.986 [main] INFO  testCases.TC_001_SFI_All_Mobile - Extracting DataSheet Values started...
14:07:49.352 [main] INFO  testCases.TC_001_SFI_All_Mobile - Extracting DataSheet Values Completed...
14:07:56.601 [main] INFO  testCases.TC_001_SFI_All_Mobile - Survey Form Url Launched..
14:08:04.102 [main] INFO  utilities.SurveyFormReUsables - Message Title Passed : Actual Value is: Hi, Welcome to chat bot..!Expected Value is: Hi, Welcome to chat bot..!
14:08:05.486 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Message Control Title
14:08:06.479 [main] INFO  testCases.TC_001_SFI_All_Mobile -  Select an option..! Actual Title 
14:08:06.479 [main] INFO  utilities.SurveyFormReUsables - MultiChoice Control Title Passed : Actual Value is: Select an option..!Expected Value is: Select an option..!
14:08:07.875 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of MultiChoice Control Title Completed
14:08:11.664 [main] INFO  utilities.Android.UtilityCustomFunctions - [DisAgree] is selected in List
14:08:11.664 [main] INFO  testCases.TC_001_SFI_All_Mobile - MultiChoice Item Selected
14:08:13.315 [main] INFO  testCases.TC_001_SFI_All_Mobile - MultiChoice Next Clicked
14:08:13.668 [main] INFO  utilities.SurveyFormReUsables - TextQuestion Control Title Passed : Actual Value is: Please type an answer ..!Expected Value is: Please type an answer ..!
14:08:15.048 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of TextQuestion Control Title
14:08:17.284 [main] INFO  testCases.TC_001_SFI_All_Mobile - Text Entered in TextAnswer Control
14:08:19.442 [main] INFO  testCases.TC_001_SFI_All_Mobile - Text Question Next Clicked
14:08:19.993 [main] INFO  utilities.SurveyFormReUsables - Email Control Title Passed : Actual Value is: What is your email address?Expected Value is: What is your email address?
14:08:21.496 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Email Control Title
14:08:23.759 [main] INFO  testCases.TC_001_SFI_All_Mobile - Email Id Entered
14:08:25.931 [main] INFO  testCases.TC_001_SFI_All_Mobile - Email Next Clicked
14:08:27.120 [main] INFO  utilities.SurveyFormReUsables - Phone Number Control Title Passed : Actual Value is: Please type your phone numberExpected Value is: Please type your phone number
14:08:28.620 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of PhoneNumber Control Title
14:08:33.123 [main] INFO  testCases.TC_001_SFI_All_Mobile - Phone Number Entered
14:08:35.137 [main] INFO  testCases.TC_001_SFI_All_Mobile - PhoneNumber Next Clicked
14:08:36.227 [main] INFO  utilities.SurveyFormReUsables - Appointment Control Title Passed : Actual Value is: Book an appointment / meetingExpected Value is: Book an appointment / meeting
14:08:37.674 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Appointment Control Title
14:08:38.273 [main] INFO  testCases.TC_001_SFI_All_Mobile - Appointment Clicked
14:08:56.928 [main] INFO  testCases.TC_001_SFI_All_Mobile - Appointment Updated to Datasheet
14:08:56.928 [main] INFO  testCases.TC_001_SFI_All_Mobile - Appointment Time Captured in Expected Value
14:08:59.827 [main] INFO  testCases.TC_001_SFI_All_Mobile - Appointment Next Button clicked
14:09:01.016 [main] INFO  utilities.SurveyFormReUsables - MultiSelect Control Title Passed : Actual Value is: Select your choices..!Expected Value is: Select your choices..!
14:09:02.485 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of MultiSelect Control Title
14:09:07.451 [main] INFO  testCases.TC_001_SFI_All_Mobile - MultiSelect Value Selected
14:09:10.292 [main] INFO  utilities.SurveyFormReUsables - List Control Title Passed : Actual Value is: Type and select your answer..!Expected Value is: Type and select your answer..!
14:09:11.750 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of List Control Control Title
14:09:17.502 [main] INFO  utilities.Android.UtilityCustomFunctions - [Sample Option 2] is selected in List
14:09:17.502 [main] INFO  testCases.TC_001_SFI_All_Mobile - List Item Selected Sample Option 2
14:09:19.225 [main] INFO  testCases.TC_001_SFI_All_Mobile - List Next Clicked
14:09:22.517 [main] INFO  testCases.TC_001_SFI_All_Mobile - Number Selected 1234567890
14:09:24.725 [main] INFO  testCases.TC_001_SFI_All_Mobile - Number Next Clicked
14:09:25.810 [main] INFO  utilities.SurveyFormReUsables - Range Control Title Passed : Actual Value is: Select a rangeExpected Value is: Select a range
14:09:27.269 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Range Control Control Title
14:09:40.157 [main] INFO  testCases.TC_001_SFI_All_Mobile - Range Selected 50
14:09:41.977 [main] INFO  testCases.TC_001_SFI_All_Mobile - Range Next Clicked
14:09:43.379 [main] INFO  utilities.SurveyFormReUsables - Rating Control Title Passed : Actual Value is: How was your experience?Expected Value is: How was your experience?
14:09:44.871 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Rating Control Control Title
14:09:45.409 [main] INFO  testCases.TC_001_SFI_All_Mobile - Rating Value: TerribleClicked
14:09:47.084 [main] INFO  testCases.TC_001_SFI_All_Mobile - Rating Next Clicked
14:09:48.201 [main] INFO  utilities.SurveyFormReUsables - Opinion Scale Control Title Passed : Actual Value is: Choose a number?Expected Value is: Choose a number?
14:09:49.622 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Opinion Scale Control Title
14:09:54.093 [main] INFO  utilities.Android.UtilityCustomFunctions - [9] is selected in List
14:09:54.094 [main] INFO  testCases.TC_001_SFI_All_Mobile - Opinion Scale : 9Clicked
14:09:55.809 [main] INFO  testCases.TC_001_SFI_All_Mobile - Opinion Scale Next Clicked
14:09:56.916 [main] INFO  utilities.SurveyFormReUsables - Date Control Title Passed : Actual Value is: Select a dateExpected Value is: Select a date
14:09:58.371 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Date Control Title
14:10:04.764 [main] INFO  testCases.TC_001_SFI_All_Mobile - Date Value Updated to DataSheet: 04/11/2023
14:10:04.895 [main] INFO  testCases.TC_001_SFI_All_Mobile - Date Value Updated to DataSheet
14:10:06.674 [main] INFO  testCases.TC_001_SFI_All_Mobile - Date Next Clicked
14:10:08.796 [main] INFO  utilities.SurveyFormReUsables - Link Control Title Passed : Actual Value is: Please contact usExpected Value is: Please contact us
14:10:10.364 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Link Control Title  Please contact us  
14:10:10.365 [main] INFO  testCases.TC_001_SFI_All_Mobile - Multiple Links Clicked
14:10:10.820 [main] INFO  testCases.TC_001_SFI_All_Mobile - Links Next Clicked
14:10:14.143 [main] INFO  utilities.SurveyFormReUsables - ThankYou Control Title Passed : Actual Value is: Nice chatting with youExpected Value is: Nice chatting with you
14:10:16.448 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of ThankYou Control TitleNice chatting with you
14:10:18.260 [main] INFO  testCases.TC_001_SFI_All_Mobile - ThankYou Next Clicked
14:10:20.353 [main] INFO  utilities.SurveyFormReUsables - Picture Message Control Title Passed : Actual Value is: Select the picture…!Expected Value is: Select the picture…!
14:10:21.991 [main] INFO  testCases.TC_001_SFI_All_Mobile - Validation of Picture Message Control Title Select the picture…! 
14:10:23.423 [main] INFO  testCases.TC_001_SFI_All_Mobile - Picture Message Seleted:PictureMessage
14:10:26.238 [main] INFO  testCases.TC_001_SFI_All_Mobile - Picture Message Next Clicked
